0.0006,0,1
0.342,1,1
0.56713,2,1
0.72623,3,1
1.0031,4,1
1.4196,2,1
1.6824,4,1
1.9232,0,1
2.186,3,1
2.4011,1,1
2.4269,2,1
2.8084,1,1
4.4768,0,1
4.6081,4,1
5.6729,1,1
5.8005,0,1
6.4534,3,1
6.6353,4,1
6.7954,3,1
6.8691,2,1
6.9093,2,1
7.0202,4,1
7.4087,1,1
7.8669,1,1
8.2219,0,1
8.2249,3,1
8.7807,0,1
9.5473,2,1
9.9895,4,1
10.003,3,1
10.145,1,1
10.511,4,1
10.903,2,1
10.979,1,1
11.073,0,1
11.408,2,1
11.603,0,1
11.896,3,1
11.977,3,1
12.036,4,1
12.567,4,1
13.004,1,1
13.821,2,1
13.856,0,1
13.916,3,1
13.947,1,1
14.149,0,1
14.214,2,1
14.892,3,1
14.924,1,1
14.937,4,1
15.182,1,1
15.626,2,1
15.738,3,1
15.797,0,1
15.921,4,1
15.992,2,1
16.206,0,1
16.917,3,1
17.214,3,1
17.246,0,1
17.395,1,1
17.412,4,1
17.62,1,1
17.79,2,1
19.595,0,1
20.095,2,1
20.295,3,1
20.969,4,1
21.014,1,1
21.162,4,1
21.949,0,1
22.697,2,1
23.072,3,1
23.361,1,1
23.487,3,1
24.312,2,1
24.352,4,1
24.746,0,1
25.058,4,1
25.595,0,1
25.747,2,1
26.163,1,1
26.704,3,1
26.821,2,1
27.062,1,1
28.223,0,1
28.462,3,1
28.582,4,1
28.872,0,1
29.006,1,1
29.43,2,1
29.59,4,1
29.793,3,1
30.149,2,1
31.23,1,1
31.349,3,1
31.895,4,1
32.298,0,1
33.223,3,1
33.233,0,1
33.365,4,1
33.691,1,1
33.79,2,1
33.869,1,1
34.241,3,1
34.535,2,1
34.803,0,1
35.127,4,1
35.142,3,1
35.27,0,1
35.45,2,1
35.533,4,1
35.91,1,1
36.492,4,1
36.591,1,1
36.985,0,1
37.029,3,1
37.573,2,1
37.618,4,1
37.884,3,1
38.021,1,1
38.514,0,1
38.724,2,1
38.926,2,1
39.555,4,1
39.685,1,1
39.864,3,1
40.858,0,1
40.871,0,1
41.954,2,1
42.017,3,1
42.347,1,1
42.612,4,1
42.949,1,1
43.083,0,1
43.374,2,1
43.874,2,1
43.88,3,1
43.906,4,1
45.01,3,1
45.326,0,1
45.405,4,1
45.56,1,1
45.599,1,1
45.693,0,1
45.782,2,1
45.903,2,1
45.953,3,1
46.081,4,1
46.12,4,1
46.767,1,1
46.796,3,1
47.594,0,1
47.747,4,1
47.762,2,1
47.887,0,1
48.287,1,1
48.762,2,1
48.998,3,1
49.346,1,1
50.018,0,1
50.035,4,1
50.144,3,1
50.158,3,1
50.223,2,1
50.605,1,1
50.989,1,1
51.619,0,1
51.881,4,1
51.903,3,1
52.672,4,1
53.155,2,1
53.256,0,1
53.491,2,1
54.747,3,1
55.124,1,1
55.672,0,1
55.842,4,1
56.033,2,1
56.28,0,1
56.374,3,1
56.789,1,1
56.999,4,1
57.311,0,1
57.422,1,1
57.466,2,1
57.66,4,1
57.795,3,1
58.261,2,1
58.715,4,1
59.046,0,1
59.089,3,1
59.096,0,1
59.342,3,1
59.45,1,1
60,4,1
